INFO 2024-09-26 12:41:19,179 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-26 12:41:19,180 autoreload Waiting for apps ready_event.
DEBUG 2024-09-26 12:41:20,177 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-26 12:41:20,230 autoreload Watching dir C:\Projects\streaming_app\templates with glob **/*.
DEBUG 2024-09-26 12:41:20,231 autoreload Watching dir C:\Projects\streaming_app\data_display\templates with glob **/*.
DEBUG 2024-09-26 12:41:20,232 autoreload Watching dir C:\Projects\streaming_app\data_ingress\templates with glob **/*.
DEBUG 2024-09-26 12:41:20,235 autoreload Watching dir C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-09-26 12:41:20,238 autoreload Watching dir C:\Projects\streaming_app\locale with glob **/*.mo.
DEBUG 2024-09-26 12:41:20,239 autoreload Watching dir C:\Projects\streaming_app\data_ingress\locale with glob **/*.mo.
DEBUG 2024-09-26 12:41:20,240 autoreload Watching dir C:\Projects\streaming_app\data_display\locale with glob **/*.mo.
DEBUG 2024-09-26 12:41:20,241 autoreload Watching dir C:\Projects\streaming_app\env_3119\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-09-26 12:41:20,457 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-09-26 12:41:20,465 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-26 12:41:20,855 autoreload File C:\Python3119\Lib\asyncio\mixins.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,856 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\admin\migrations\__init__.py first seen with mtime 1726818170.984578
DEBUG 2024-09-26 12:41:20,857 autoreload File C:\Python3119\Lib\reprlib.py first seen with mtime 1712054574.0
DEBUG 2024-09-26 12:41:20,857 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\http\response.py first seen with mtime 1726818186.6140072
DEBUG 2024-09-26 12:41:20,858 autoreload File C:\Projects\streaming_app\data_ingress\common\__init__.py first seen with mtime 1726050860.2257519
DEBUG 2024-09-26 12:41:20,858 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1726818184.5569587
DEBUG 2024-09-26 12:41:20,859 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1726818186.3270006
DEBUG 2024-09-26 12:41:20,859 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1726818185.9739914
DEBUG 2024-09-26 12:41:20,860 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\django\apps\__init__.py first seen with mtime 1726818165.779406
DEBUG 2024-09-26 12:41:20,860 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1726818139.342968
DEBUG 2024-09-26 12:41:20,861 autoreload File C:\Projects\streaming_app\env_3119\Lib\site-packages\numpy\lib\_npyio_impl.py first seen with mtime 1726818139.267965
